id,lessonID,sentence,sentenceTrans,voiceUrl,type
25,31,Absolutely,"Đúng thế , vậy đó, đương nhiên rồi , chắc là vậy rồi",NULL,0
26,31,"Absolutely impossible!","Không thể nào! Tuyệt đối không có khả năng đó .",NULL,0
27,31,"All I have to do is learn English","Tất cả những gì tôi cần làm là học tiếng Anh.",NULL,0
28,31,"Are you free tomorrow?","Ngày mai cậu rảnh không?",NULL,0
29,31,"Are you used to the food here?","Cậu ăn có quen đồ ăn ở đây không ?",NULL,0
30,31,"Be careful.","Cẩn thận/ chú ý",NULL,0
31,31,"Be my guest.","Cứ tự nhiên / đừng khách sáo !",NULL,0
32,31,"Better late than never","Đến muộn còn tốt hơn là không đến .",NULL,0
33,31,"Better luck next time.","Chúc cậu may mắn lần sau.",NULL,0
34,31,"Better safe than sorry","Cẩn thận sẽ không xảy ra sai sót lớn .",NULL,0
35,31,"Can I have a day off?","Tôi có thể xin nghỉ một ngày được không?",NULL,0
36,31,"Can I help?","Cần tôi giúp không ?",NULL,0
37,32,"Can I take a message?","Có cần tôi chuyển lời không ?",NULL,0
38,32,"Can I take a rain check?","Cậu có thể mời mình bữa k hác được không?",NULL,0
39,32,"Can I take your order?","Ông muốn chọn món không ?",NULL,0
40,32,"Can you give me a wake-up call","Cậu có thể gọi điện đánh thức mình dậy không?",NULL,0
41,32,"Can you make it","Cậu có thể tới được không?",NULL,0
42,32,"Can you give me some feedback?","Anh có thể nêu một vài đề nghị cho tôi được không ?",NULL,0
43,32,"Can I have a word with you?","Tôi có thể nói chuyện với anh một lát được không ?",NULL,0
44,32,"Cath me later.","Lát nữa đến tìm tôi nhé !",NULL,0
45,32,"Cheer up!","Vui vẻ lên nào/ Phấn khởi lên nào !",NULL,0
46,32,"Come in and make yourself at home.","Xin mời vào, đừng khách sáo !",NULL,0
47,32,"Could I have the bill,please?","Xin cho xem hóa đơn tính tiền ?",NULL,0
48,32,"Could you drop me off at the airport?","Cậu có thể chở mình đến sân bay được không?",NULL,0
49,32,"Could you speak slower?","Anh nói chậm lại một chút được không?",NULL,0
50,32,"Could you take a picture for me?","Có t hể chụp hình giúp tôi không ?",NULL,0
51,32,"Did you enjoy your flight?","Chuyến bay của ông vui vẻ chứ ?",NULL,0
52,32,"Did you have a good day today?","Hôm nay vui vẻ không?",NULL,0
53,32,"Did you have a nice holiday?","Kì nghỉ của cậu vui vẻ chứ?",NULL,0
54,32,"Did you have fun.","Cậu chơi vui vẻ chứ ?",NULL,0
55,32,"Dinner is on me.","Bữa tối tôi mời .",NULL,0
56,32,"Do you have a room available?","Chỗ các ông còn phòng trống không ?",NULL,0
57,32,"Do you have any hobbies?","Anh có sở thích gì không?",NULL,0
58,32,"Do you have some change ?","Cậu có tiền lẻ không?",NULL,0
59,32,"Do you mind my smoking?","Tôi hút thuốc có phiền gì không ạ ?",NULL,0
60,32,"Do you often work out.","Anh thường xuyên rèn luyện thân thể chứ ?",NULL,0
61,32,"Do you speak English?","Cậu biết nói tiếng Anh k hông?",NULL,0
62,32,"Don’t be so modest.","Đừng khiêm tốn thế .",NULL,0
63,33,"Don’t bother.","Đừng có phiền phức nữa.",NULL,0
64,33,"Don’t get me wrong.","Đừng hiểu lầm tôi",NULL,0
65,33,"Don’t give up.","Đừng từ bỏ .",NULL,0
66,33,"Don’t jump to conclusions.","Đừng đưa ra kết luận quá vội vàng .",NULL,0
67,33,"Don’t let me down.","Đừng làm tôi thất vọng đấy .",NULL,0
